step,node,sig,state_0,state_1,state_2,state_3,state_d,tate_D
271,4919,0.48380566632469946,297,105,67,240,492,3723
272,4952,0.49040117947407963,321,88,80,233,508,3689
273,4960,0.4920006825967688,299,108,74,247,496,3728
274,4961,0.49220063267441294,294,106,68,273,491,3728
275,4991,0.4982000077759597,293,90,82,258,498,3740
276,5021,0.504199901218788,314,114,66,264,484,3749
277,5023,0.5045998702230603,299,99,74,268,507,3774
278,5047,0.5093988927112105,317,98,75,264,505,3764
279,5047,0.5093988927112105,311,111,66,269,527,3763
280,5054,0.5107983206973974,324,80,73,270,522,3778
281,5031,0.5061996822488762,323,83,54,259,526,3809
282,4990,0.4980000106665984,298,75,61,237,526,3834
283,4968,0.4936003495024284,273,84,60,233,492,3848
284,4946,0.4892016793026025,299,86,62,236,470,3815
285,4925,0.4850044983805899,279,70,66,238,489,3804
286,4892,0.4784134269049583,291,78,58,225,477,3796
287,4876,0.47522031732934844,292,75,63,208,496,3758
288,4865,0.4730262134250855,288,91,52,229,456,3760
289,4864,0.4728267998070029,275,82,66,235,463,3744
290,4845,0.4690396603526911,277,82,59,231,461,3754
291,4832,0.4664504862148932,295,72,61,227,468,3722
292,4827,0.46545512339729844,296,69,53,221,474,3719
293,4806,0.461277694292146,305,72,44,210,475,3721
294,4800,0.46008511544443426,286,61,60,206,455,3738
295,4800,0.46008511544443426,286,87,49,209,445,3724
296,4822,0.4644600356188178,270,88,64,217,429,3732
297,4851,0.4702352347264256,263,107,67,245,420,3720
298,4898,0.47961131201988333,248,98,80,256,433,3736
299,4928,0.4856039799915396,265,119,74,280,418,3742
300,4965,0.49300045729748126,255,93,85,273,461,3761
301,5001,0.5001999999893333,314,102,69,269,458,3753
302,5023,0.5045998702230603,293,101,78,256,497,3776
303,5046,0.5091989618899182,315,99,78,281,454,3796
304,5072,0.5143960200084604,290,90,75,272,514,3805
305,5092,0.5183916984915315,322,100,72,288,448,3842
306,5142,0.5283694976239229,301,100,75,282,514,3820
307,5166,0.5331512934057006,326,110,67,288,483,3868
308,5199,0.5397161527786873,314,92,83,277,523,3877
309,5207,0.5413056481440467,324,120,61,288,509,3897
310,5261,0.5520111743248977,319,114,84,282,529,3879
311,5284,0.5565569207846229,359,115,76,292,511,3908
312,5315,0.5626687076798119,307,107,90,297,550,3933
313,5328,0.5652261731727765,348,115,74,306,526,3946
314,5362,0.5718982034898707,327,105,83,300,559,3954
